content,score,clean
topp bangett,5,topp bangett
bagus cepat dan ramah,5,bagus cepat dan ramah
"lama banget saya gofood aja gamau ada yang ambil makanan saya,mending saya langsung kee tokonya beli sendiri kesana saya kasih bintang 1 siapa cobaa ga kecewa udah nunggu lama ga ada yang anter cuman bisa andelin batalin pesanan kalo tau gitu ga usah buat aplikasi gojek kalau ga ada yang mau ambil",1,lama banget saya gofood aja gamau ada yang ambil makanan sayamending saya langsung kee tokonya beli sendiri kesana saya kasih bintang  siapa cobaa ga kecewa udah nunggu lama ga ada yang anter cuman bisa andelin batalin pesanan kalo tau gitu ga usah buat aplikasi gojek kalau ga ada yang mau ambil
sungguh nyaman 😄😏😄👍👍👍 🩷🩷🩷🩷🩷🩷🩷🩷🩷🩷🩷🩷🩵🩵🩵🩵🩵🩵🩵🩵🩵🩵🩵🩵,5,sungguh nyaman  
driver kadang sok sibuk semua,1,driver kadang sok sibuk semua
membantu sekali dan memudahkan segala aktivitas kita,5,membantu sekali dan memudahkan segala aktivitas kita
min selain gofood tambahin goMUA biar Ulya bisa dimakeup di jalan,5,min selain gofood tambahin gomua biar ulya bisa dimakeup di jalan
mantap 👍👍,5,mantap 
saham goto naik yuk,5,saham goto naik yuk
baik n ramah,5,baik n ramah
buruk q,1,buruk q
"hama lama gojek nya pepek hpus aja aplikasi nya, nunggu gojek udah dri 3jam ga dpt2",1,hama lama gojek nya pepek hpus aja aplikasi nya nunggu gojek udah dri jam ga dpt
sangat membantu!,5,sangat membantu
"susah dapat driver, nda guna punya banyak driver tapi pada nda mau ambil orderan",1,susah dapat driver nda guna punya banyak driver tapi pada nda mau ambil orderan
Good Job,5,good job
mantabb,5,mantabb
"kenapa akun saya dibekukan, di kasih penjelasan juga engga, ga jelas banget",1,kenapa akun saya dibekukan di kasih penjelasan juga engga ga jelas banget
"aplikasi ini, terutama gofood, mungkin dibusukkan oleh pengembang dari dalam. Sering terjadi : Chat dari penjual / driver saat terjadi ketidak sesuaian pesanan, katakanlah menu yg dipesan habis. chat untuk konfirmasi ke pembeli tidak sampai. apakah ini pengembang yg tidak kompeten, atau memang sengaja dibusukkan dari dalam.",1,aplikasi ini terutama gofood mungkin dibusukkan oleh pengembang dari dalam sering terjadi  chat dari penjual  driver saat terjadi ketidak sesuaian pesanan katakanlah menu yg dipesan habis chat untuk konfirmasi ke pembeli tidak sampai apakah ini pengembang yg tidak kompeten atau memang sengaja dibusukkan dari dalam
"bantuan tidak berguna, tidak bisa menyelesaikan kendala/masalah",1,bantuan tidak berguna tidak bisa menyelesaikan kendalamasalah
Aplikasi yang memelihara driver kek monyet semua. terutama driver gocar.,1,aplikasi yang memelihara driver kek monyet semua terutama driver gocar
"ini kenapa jadi susah login? tulisannya yah, internet mati. buka grab aja bisa masa ini gabisa",4,ini kenapa jadi susah login tulisannya yah internet mati buka grab aja bisa masa ini gabisa
"Makin ke sini, nyari dan dapet driver jadi lama banget. Proses cancel juga harus nunggu lama dan ribet. Saran aja, kalau bisa potongan dari aplikasi ke driver jangan terlalu banyak, biar driver nggak milih-milih dan sering nge-cancel pesanan, jadi pembeli/customer juga nggak dirugikan.",2,makin ke sini nyari dan dapet driver jadi lama banget proses cancel juga harus nunggu lama dan ribet saran aja kalau bisa potongan dari aplikasi ke driver jangan terlalu banyak biar driver nggak milihmilih dan sering ngecancel pesanan jadi pembelicustomer juga nggak dirugikan
"gojek makin kesini makin aneh, order malah dpet driver yg jauh jauh. padahal sekitaran bejibun.",2,gojek makin kesini makin aneh order malah dpet driver yg jauh jauh padahal sekitaran bejibun
"tlg pihak gojek ini driver ngeluh krna terlalu bnyk ptongan dr apk & driver ga balik modal, apk ini trlalu bnyk ambil untung dr driver, customer ke aplikator tarif tinggi bgt tp dr aplikator ke driver/rider tarif rendah bgt, driver fulltime dicekik alogoritma, driver libur 1hr krna skit akun lgsg anyep & orderan ilang, skrg apk ngadain prioritas driver byr 1hr 20rb biar bsa dpt orderan max 10, mnding driver pindah maxim aja, maxim ptongan dkit, sy brni blg krna nyata sy susah dpt driver",1,tlg pihak gojek ini driver ngeluh krna terlalu bnyk ptongan dr apk  driver ga balik modal apk ini trlalu bnyk ambil untung dr driver customer ke aplikator tarif tinggi bgt tp dr aplikator ke driverrider tarif rendah bgt driver fulltime dicekik alogoritma driver libur hr krna skit akun lgsg anyep  orderan ilang skrg apk ngadain prioritas driver byr hr rb biar bsa dpt orderan max  mnding driver pindah maxim aja maxim ptongan dkit sy brni blg krna nyata sy susah dpt driver
driver yang suka terlambat dan pelayanan yang kurang,2,driver yang suka terlambat dan pelayanan yang kurang
lama cari driver nya.,2,lama cari driver nya
oke mantap,5,oke mantap
TIDAK JUJUR,1,tidak jujur
server jelek minimal upgrade lah ngeleg banget servernya pdhl kuota full sinyal ada.pdhl brand gede mslh kecil ga mau diatasin,1,server jelek minimal upgrade lah ngeleg banget servernya pdhl kuota full sinyal adapdhl brand gede mslh kecil ga mau diatasin
"kenapa gak bisa ganti pembayaran nya dari tunai ke gopay error gilaaaa banget sumpah , perbaiki lahhh gimana sih",2,kenapa gak bisa ganti pembayaran nya dari tunai ke gopay error gilaaaa banget sumpah  perbaiki lahhh gimana sih
tidak ada respon dari aplikasi dari jam penentuan dapat voucher kalau driver belum sampai .aplikasi terdiam lebih dari waktu .makin menurun kualitasnya,1,tidak ada respon dari aplikasi dari jam penentuan dapat voucher kalau driver belum sampai aplikasi terdiam lebih dari waktu makin menurun kualitasnya
Aplikasi gajelas malah gakbisa daftar,1,aplikasi gajelas malah gakbisa daftar
"Karna gaada driver terpaksa harus nunggu 40 menit baru bisa cancel, keburu aslam",1,karna gaada driver terpaksa harus nunggu  menit baru bisa cancel keburu aslam
gojek nya gak aman banyak mafia semua masa beli makan di gojek sampe sekarang belum di anterin,1,gojek nya gak aman banyak mafia semua masa beli makan di gojek sampe sekarang belum di anterin
"sekarang makin kesini gojek susah bgt dapat driver padahal gak hujan cuacanya pun biasa, cuma sekedar macet di jalan aja pada gabisa narik orderan penumpang, harus bgt upgrade ke pilihan mahal baru dapat driver. gak rekomendasi padahal aku seneng bgt pake gojek kemana mana.",3,sekarang makin kesini gojek susah bgt dapat driver padahal gak hujan cuacanya pun biasa cuma sekedar macet di jalan aja pada gabisa narik orderan penumpang harus bgt upgrade ke pilihan mahal baru dapat driver gak rekomendasi padahal aku seneng bgt pake gojek kemana mana
gojek ini kenapa dah aku baru download ini gojek dan belum punya akun terus aku isi akun di gojek di saat-saat mengisi email eh aku tekan selanjutnya terus apa kata ni gojek tunggu 30 jam lagi kenapa sih harus tunggu 30 ini kenapa nih gw kasih bintang satu😤😠,1,gojek ini kenapa dah aku baru download ini gojek dan belum punya akun terus aku isi akun di gojek di saatsaat mengisi email eh aku tekan selanjutnya terus apa kata ni gojek tunggu  jam lagi kenapa sih harus tunggu  ini kenapa nih gw kasih bintang satu
drivernya ramah dan tepat waktu,5,drivernya ramah dan tepat waktu
tolong lah gojek ini sekarang sering banget order makanan ke cancel Mulu orang laper yang ada mati duluan,1,tolong lah gojek ini sekarang sering banget order makanan ke cancel mulu orang laper yang ada mati duluan
"pesan go ride, banyak yang terima dan mereka langaung batalkan, karna jaraknya agak jauh. saya posisi di bali, sedang di derah kuta mau ke panjer, semua driver terima oesanan dan langsung mereka batalkan. bahkan sampe 13 driver 🤦",2,pesan go ride banyak yang terima dan mereka langaung batalkan karna jaraknya agak jauh saya posisi di bali sedang di derah kuta mau ke panjer semua driver terima oesanan dan langsung mereka batalkan bahkan sampe  driver 
luar biasa sangat memudahkan,5,luar biasa sangat memudahkan
lama mengantar makanan juga mencari driver,1,lama mengantar makanan juga mencari driver
makin kesini kooo makin hawhaww so saddddddddd,1,makin kesini kooo makin hawhaww so saddddddddd
langsung dapat driver tidak pakai lama..,5,langsung dapat driver tidak pakai lama
Tetap yang terbaik hingga kini 👍,5,tetap yang terbaik hingga kini 
"harga/km mahal, gawajar kalo dibandingin kendaraan umum",4,hargakm mahal gawajar kalo dibandingin kendaraan umum
"mantap,",5,mantap
tidak bisa di pakai,1,tidak bisa di pakai
mantulll,5,mantulll
"alhamdulillah enakeun pake apk gojek,tapi untuk go food nya aga lumayan mahal diongkir tolong banyakin lagi promonya supaya gak selalu cancel kalo mau jajan😭",5,alhamdulillah enakeun pake apk gojektapi untuk go food nya aga lumayan mahal diongkir tolong banyakin lagi promonya supaya gak selalu cancel kalo mau jajan
mudah dalam pencarian titik antar/jemput,4,mudah dalam pencarian titik antarjemput
lumayan. tp kdg msh ada bug n error gitu,4,lumayan tp kdg msh ada bug n error gitu
mntul,5,mntul
Sampah driver pda ga mau narik. apk ga gunaa. bener² ga gunaaa,1,sampah driver pda ga mau narik apk ga gunaa bener ga gunaaa
amanah murah meriah,5,amanah murah meriah
"sangat membantu , simple dan gak ribet ,",5,sangat membantu  simple dan gak ribet 
ojolnya ramah banget,5,ojolnya ramah banget
bt banget pas lgi urgent² nya sama sekali gada yg nyaut🤣🤣🤣,1,bt banget pas lgi urgent nya sama sekali gada yg nyaut
mantap sangat berguna,5,mantap sangat berguna
kenapa mendapatkan driver lebih sulit sekali dapat banyak dramanya jd ga berani kasih penilaian..driver kompetitor jauh lebih ramah dan mau mencari alamat dengan sabar...apa saya aja yg mengalaminya yaa...atau saya yg baperan..maaf yaa,2,kenapa mendapatkan driver lebih sulit sekali dapat banyak dramanya jd ga berani kasih penilaiandriver kompetitor jauh lebih ramah dan mau mencari alamat dengan sabarapa saya aja yg mengalaminya yaaatau saya yg baperanmaaf yaa
"males banget, banyak driver seenaknya ga bilang apa2 tiba' menjauh, padahal saya udah nunggu, kalo misalnya ga bisa jemput kan bisa saya cancel. bukannya malah tiba tiba jauh atau diem aja, terus ga bialang apaa apa",1,males banget banyak driver seenaknya ga bilang apa tiba menjauh padahal saya udah nunggu kalo misalnya ga bisa jemput kan bisa saya cancel bukannya malah tiba tiba jauh atau diem aja terus ga bialang apaa apa
good👍,5,good
lambat dapat driver,1,lambat dapat driver
"susah dapat driver, keburu kelaparan",1,susah dapat driver keburu kelaparan
bagus pokonnya,5,bagus pokonnya
goood,5,goood
"mantap,tempat terpencil bisa",5,mantaptempat terpencil bisa
udah instal gk bisa login kok,1,udah instal gk bisa login kok
makasih gojek udh ngebantu saya dapet jemputan pas lagi di kecewa²in-nya🙂👍🏻,5,makasih gojek udh ngebantu saya dapet jemputan pas lagi di kecewainnya
"gofood nya kurang lengkap, gaada pacar saya",5,gofood nya kurang lengkap gaada pacar saya
"aplikasi sekarang saat dibuka sering eror padahal jaringan baik"" saja,,semoga kedepannya dapat diperbaiki oleh pihak gojek",5,aplikasi sekarang saat dibuka sering eror padahal jaringan baik sajasemoga kedepannya dapat diperbaiki oleh pihak gojek
"terlalu ribet nihh, tau tau dah d blokir aj paylaternya. pdhal bunga berjalannya gede bgt!!! telat ga ampe berbulan-bulan. bunga gede, kebijakan nya ga sesuai dengan memberikan kemudahan nya BIG NO BGTTT!!!",2,terlalu ribet nihh tau tau dah d blokir aj paylaternya pdhal bunga berjalannya gede bgt telat ga ampe berbulanbulan bunga gede kebijakan nya ga sesuai dengan memberikan kemudahan nya big no bgttt
"alhamdulillah suka ,,",5,alhamdulillah suka 
memudahkan untuk kemna saja,5,memudahkan untuk kemna saja
harga selalu lebih mahal dari yang lain,1,harga selalu lebih mahal dari yang lain
"tarif sedang sedang aja.driver nya sopan.cuma satu kendala nya di saat buru buru.dpt driver yg jauh jarak nya,jdi hrs menunggu lama.di cancel kasihan sdh Rizqi org itu.jg kasihan SM driver nya hrs menjemput penumpang trllu jauh.mngkn bisa di benahi dlm menerima pesanannya.semntara di area sekitar bnyk driver yg menunggu orderan masuk.",5,tarif sedang sedang ajadriver nya sopancuma satu kendala nya di saat buru burudpt driver yg jauh jarak nyajdi hrs menunggu lamadi cancel kasihan sdh rizqi org itujg kasihan sm driver nya hrs menjemput penumpang trllu jauhmngkn bisa di benahi dlm menerima pesanannyasemntara di area sekitar bnyk driver yg menunggu orderan masuk
Gocar tarifnya diluar nurul. Dari BEC ke Cimindi 97k.,1,gocar tarifnya diluar nurul dari bec ke cimindi k
ya lumayanlah,3,ya lumayanlah
"pesen go car buat ke puskesmas, nyantol 4 driver tp semua gak respon ,gak cancel ,gak jelas pdhal dah nggu sampe 2 15mnitan perdriver nihil semua.. padahal ngejar waktu ..",3,pesen go car buat ke puskesmas nyantol  driver tp semua gak respon gak cancel gak jelas pdhal dah nggu sampe  mnitan perdriver nihil semua padahal ngejar waktu 
enak bisa mesen makanan apa aja,5,enak bisa mesen makanan apa aja
Makin kesini makin parah di maps banyak driver tapi terus mencari driver kalo untuk layanan keuangan sih oke kalau transportasi terutama goride nol besar,1,makin kesini makin parah di maps banyak driver tapi terus mencari driver kalo untuk layanan keuangan sih oke kalau transportasi terutama goride nol besar
"order gojek car akhir2 menjengkelkan sudah nunggu lebih dari 30 menit driver gak gerak, tapi ketika GPS sudah sampai tapi mobil yang terdaftar tidak ada dilokasi, padahal jalanan sepi hanya ada mobil lain. ku rasa para driver ini memanfaatkan layanan denda 3000 rupiah kalau pemesan membatalkan pesanan karena capek nunggu. aku sudah ke 4 kalinya nunggu driver model gini total 3 jam lebih. di chat tidak respon, di telfon g diangkat, GPS di titik jemput tapi gak jemput penumpang lebih dari 30menit.",2,order gojek car akhir menjengkelkan sudah nunggu lebih dari  menit driver gak gerak tapi ketika gps sudah sampai tapi mobil yang terdaftar tidak ada dilokasi padahal jalanan sepi hanya ada mobil lain ku rasa para driver ini memanfaatkan layanan denda  rupiah kalau pemesan membatalkan pesanan karena capek nunggu aku sudah ke  kalinya nunggu driver model gini total  jam lebih di chat tidak respon di telfon g diangkat gps di titik jemput tapi gak jemput penumpang lebih dari menit
"tarifnya tidak sesuai dengan yang di klik dr awal ,selisihnya 20rb jd lebih mahal...",4,tarifnya tidak sesuai dengan yang di klik dr awal selisihnya rb jd lebih mahal
"akhir2 ini agak susah dapet driver, sekali nya dapet kadang jarak ny jauh,",4,akhir ini agak susah dapet driver sekali nya dapet kadang jarak ny jauh
Dapat koin dari main gocats tapi pas dilihat disaldo koin gk nambah. Banyak koin yg gk bisa diklaim. Banyak bohongnya,1,dapat koin dari main gocats tapi pas dilihat disaldo koin gk nambah banyak koin yg gk bisa diklaim banyak bohongnya
"Driver gocar di Rangkasbitung kalian pada mainan harga,nembak harga,atau manualin harga diluar aplikasi",1,driver gocar di rangkasbitung kalian pada mainan harganembak hargaatau manualin harga diluar aplikasi
tolong dong resto kalo masak jangan kelamaan trus juga nyari driver lama banget masa mesen makanan harus nunggu 1 jam lebih makanan jadi ga fresh ga enak,1,tolong dong resto kalo masak jangan kelamaan trus juga nyari driver lama banget masa mesen makanan harus nunggu  jam lebih makanan jadi ga fresh ga enak
"aplikasi udah oke, klo bisa tambahin fitur pembayaran Qris",5,aplikasi udah oke klo bisa tambahin fitur pembayaran qris
semoga pelayanannya lebih joss lagi,4,semoga pelayanannya lebih joss lagi
"TOLONG DI PERBAIKI TERKAIT LAYANAN PRIORITAS, SAYA JAM 2 PAGI BAWA BAYI PESEN GOJEK, DAPET, TAPI,NGGA GERAK SAMA SEKALI KUSUT BANGET",1,tolong di perbaiki terkait layanan prioritas saya jam  pagi bawa bayi pesen gojek dapet tapingga gerak sama sekali kusut banget
susah cari gocar dan goride sekalinya cancel harga makin naik ga ngotak,1,susah cari gocar dan goride sekalinya cancel harga makin naik ga ngotak
trims fast respon,5,trims fast respon
pelayanannya lamban,1,pelayanannya lamban
gua bayar ongkir gede ko di hematin,1,gua bayar ongkir gede ko di hematin
"asik bangett bisa njajan tanpa keluar rumahh, tpi ongkir nya agak mahall padahal resto nya lumayan deket sama kost kuu",5,asik bangett bisa njajan tanpa keluar rumahh tpi ongkir nya agak mahall padahal resto nya lumayan deket sama kost kuu
"pesen gofood orang bisa disuruh nunggu dapet driver sampe 60 menit lebih baru bisa dibatalin, woi orang mah kaya si orange 12 atau 20 menit gak dapet driver bisa batalin pemesan nya, bikin aturan se enak jidat, auto ganti ke aplikasi orange besok2",1,pesen gofood orang bisa disuruh nunggu dapet driver sampe  menit lebih baru bisa dibatalin woi orang mah kaya si orange  atau  menit gak dapet driver bisa batalin pemesan nya bikin aturan se enak jidat auto ganti ke aplikasi orange besok
"tolong dong saya mau coba login pake nomor HP saya tapi tidak bisa, saya lupa pin sama email nya jadi bingung mau loginnya gimana mana masih ada saldonya. tolong dong cs nya bantuin saya",1,tolong dong saya mau coba login pake nomor hp saya tapi tidak bisa saya lupa pin sama email nya jadi bingung mau loginnya gimana mana masih ada saldonya tolong dong cs nya bantuin saya
Pokoke semua²nya is the bestlah👍👍👍,5,pokoke semuanya is the bestlah
"udah pesan 5x berturut-turut dari jam 7 malam sampai jam 1 pagi tidak ada driver yang mau ambil, parahh jujur kecewa sih padahal aku selalu pakai gopay tiap transaksi",1,udah pesan x berturutturut dari jam  malam sampai jam  pagi tidak ada driver yang mau ambil parahh jujur kecewa sih padahal aku selalu pakai gopay tiap transaksi
gonjek mantap. semoga gacor,5,gonjek mantap semoga gacor
driver nya lama,1,driver nya lama
chat pusat bantuan ngg di tanggapi 👎,1,chat pusat bantuan ngg di tanggapi 
"kecewa bgt, penjemputan drivernya jauh jauh bisa 2km - 5km dari titik jemput jdi bnyk driver yg ngebatalin termasuk saya customer sendiri pun sya batalin karna menunggu terlalu lama terlalu jauh blum lgi macet di jln, akibatnya merugikan ke2 belah pihak driver rugi saya sebagai customer pun rugi. saya pakai gojek dri dlu karna dulu praktis cepat tpi skrang sya kecewa butuh waktu lma buat dijemput driver 30-40menit, maksudnya apa bikin peraturan titik jemput jauh begini?bkin orang terlambat trus?",1,kecewa bgt penjemputan drivernya jauh jauh bisa km  km dari titik jemput jdi bnyk driver yg ngebatalin termasuk saya customer sendiri pun sya batalin karna menunggu terlalu lama terlalu jauh blum lgi macet di jln akibatnya merugikan ke belah pihak driver rugi saya sebagai customer pun rugi saya pakai gojek dri dlu karna dulu praktis cepat tpi skrang sya kecewa butuh waktu lma buat dijemput driver menit maksudnya apa bikin peraturan titik jemput jauh beginibkin orang terlambat trus
woi kocak ini driver ga dapat muku lama banget trus di cancel otomatis gua laper kocak malah di suruh oesen dari awal jahat banget ga tau orang laper,1,woi kocak ini driver ga dapat muku lama banget trus di cancel otomatis gua laper kocak malah di suruh oesen dari awal jahat banget ga tau orang laper
seru banget,5,seru banget
"baru download and ga banget ini aplikasi, ngaret nya tu ngaret bgt ga kaya sebelah, cepett bgt. gua baru nyoba and kecewa bener"" ga habis fikir sama ni aplikasi terus lain kali Adain yg namanya ""FITUR PEMBATALANN YAAA ATAAAAUUU FITUR PENGGANTIAN MENU LAIN KALII"" KESEL BGT GUA",1,baru download and ga banget ini aplikasi ngaret nya tu ngaret bgt ga kaya sebelah cepett bgt gua baru nyoba and kecewa bener ga habis fikir sama ni aplikasi terus lain kali adain yg namanya fitur pembatalann yaaa ataaaauuu fitur penggantian menu lain kalii kesel bgt gua
dari kemarin gw pesen gofood ga dapet driver dah nyoba berkali' pun ga dpt mls bgt,5,dari kemarin gw pesen gofood ga dapet driver dah nyoba berkali pun ga dpt mls bgt
"DRIVER GA MAU AMBIL ORDERAN, PADA SOK KAYA, GACOAN 2 ITEM DOANG GAMAU NGAMBIL",1,driver ga mau ambil orderan pada sok kaya gacoan  item doang gamau ngambil
"sistem yg kurang pasti, saat memesan tbtb di batalkan, payah",1,sistem yg kurang pasti saat memesan tbtb di batalkan payah
serba cepet jadinya,5,serba cepet jadinya
"Akhir"" ini pesen gojek lama bgt saya jadi telat sekolah gara"" lelet driver nya, sya pinda aplikasi sebelah langsung gercep.",5,akhir ini pesen gojek lama bgt saya jadi telat sekolah gara lelet driver nya sya pinda aplikasi sebelah langsung gercep
"hr ini order food,ad psn'an yg krng avocado fload,sy langsung chat CS,di suruh kirim fhto orderan nye dan dah sy kirim kta nye lg di proses,trus masuk email klo fhto yg di kirim kurang jelas jd mnta di kirim lg sdng kan ad mkn'an yg dah di mkn sprti nasi,ayam,puding,kentang dan burger tp bungkus nye msh ad jd sy fhto ulang mkn'an yg trsisa dngan bngkus mkn'an yg telah di mkn,td msuk email blng gk bisa di proses krna laporan krng lengkap,chat cuma bisa buka kamera langsung tp gk bisa buka galeri",1,hr ini order foodad psnan yg krng avocado floadsy langsung chat csdi suruh kirim fhto orderan nye dan dah sy kirim kta nye lg di prosestrus masuk email klo fhto yg di kirim kurang jelas jd mnta di kirim lg sdng kan ad mknan yg dah di mkn sprti nasiayampudingkentang dan burger tp bungkus nye msh ad jd sy fhto ulang mknan yg trsisa dngan bngkus mknan yg telah di mkntd msuk email blng gk bisa di proses krna laporan krng lengkapchat cuma bisa buka kamera langsung tp gk bisa buka galeri
ngasih promo potongan besar tapi ga mikirin driver. kayak gini jadi susah dapetin driver kalo mesen gofood. ga mikirin customer juga udah kelaparan tapi dipaksa nunggu nyari driver setengah jam lebih. gabisa di cancel kalo belum melewati batas waktu yg di tentukan. MIKIR KIDS😔👈🏻,1,ngasih promo potongan besar tapi ga mikirin driver kayak gini jadi susah dapetin driver kalo mesen gofood ga mikirin customer juga udah kelaparan tapi dipaksa nunggu nyari driver setengah jam lebih gabisa di cancel kalo belum melewati batas waktu yg di tentukan mikir kids
dapat banyak voucher/diskon tapi gak sesuai.,1,dapat banyak voucherdiskon tapi gak sesuai
Aman ok,5,aman ok
"pemesanan Go food sangat merugikan & menjengkelkan,. masa pencarian Driver bisa 1 jam lebih. makanan udah dingin, lama sampainya lagi.. gx ada penjelasan dari Gojeknya juga. jangan pernah lagi pakai aplikasi Gojek.",1,pemesanan go food sangat merugikan  menjengkelkan masa pencarian driver bisa  jam lebih makanan udah dingin lama sampainya lagi gx ada penjelasan dari gojeknya juga jangan pernah lagi pakai aplikasi gojek
terlalu mahal sekarang,1,terlalu mahal sekarang
😀,5,
susah dapat Drive,1,susah dapat drive
"tolong lah,soal penganteran makanannya lahh, tolong!!",5,tolong lahsoal penganteran makanannya lahh tolong
lama pengantaran nya,2,lama pengantaran nya
"kalo gak ketemu driver nya bisa batalin aja stres,jadi nunggu apaan dah ni gua,nunggu harapan,jadi laper banget ni gw kocak,mending pindah ke grab aja",1,kalo gak ketemu driver nya bisa batalin aja stresjadi nunggu apaan dah ni guanunggu harapanjadi laper banget ni gw kocakmending pindah ke grab aja
"pembeli tidak bisa membatalkan pesanan ketika menunggu terlalu lama terutama ketika masih mencari driver, harus diperbaiki lagi sangat buruk",1,pembeli tidak bisa membatalkan pesanan ketika menunggu terlalu lama terutama ketika masih mencari driver harus diperbaiki lagi sangat buruk
trimakasih atas kepercayaan nya gojek,5,trimakasih atas kepercayaan nya gojek
"pembatalan yng tidak menyenangkan, sudah menunggu satu jam di batalkan tanpa memberi solusi ataupun tawaran pickup... sangat kecewa buruknya pelayanan ini!!!",1,pembatalan yng tidak menyenangkan sudah menunggu satu jam di batalkan tanpa memberi solusi ataupun tawaran pickup sangat kecewa buruknya pelayanan ini
"heh developer, Iki aku user, tak kandani potongan mu 20% ilangi, Ben aku rak kangelan ntuk driver, pesen kfc oq ngase 2 jam, rak ngutek",1,heh developer iki aku user tak kandani potongan mu  ilangi ben aku rak kangelan ntuk driver pesen kfc oq ngase  jam rak ngutek
gak senggaja ke pesan malah gak bisah di batalin,1,gak senggaja ke pesan malah gak bisah di batalin
pesan makan lama driver ny laama terima pesanan nya,1,pesan makan lama driver ny laama terima pesanan nya
bisa bantu saya kemana mana,5,bisa bantu saya kemana mana
lemot,1,lemot
"gini kk saya selalu make gojek krna aplikasi nya emg bagus tp jg SARAN DARI SAYA klo bisa di GOFOOD KHUSUSNYA jgn klo makanan nya udh siap tp driver nya ngga ada kk ini saya pesen dari jam 20 44 sampai jam 21 40 Masi belum Dateng hampir sejam an nunggu cm buat makan malam doang, saran saya mending dibuat kyk dlu aja jadi driver nya udh ketemu trus otw ke resto. sy harap jgn terulang lg yg kayak gini. Ttp semangatt buat gojek kedepannya 😁🤝",5,gini kk saya selalu make gojek krna aplikasi nya emg bagus tp jg saran dari saya klo bisa di gofood khususnya jgn klo makanan nya udh siap tp driver nya ngga ada kk ini saya pesen dari jam   sampai jam   masi belum dateng hampir sejam an nunggu cm buat makan malam doang saran saya mending dibuat kyk dlu aja jadi driver nya udh ketemu trus otw ke resto sy harap jgn terulang lg yg kayak gini ttp semangatt buat gojek kedepannya 
tidak bisa beli pulsa ini rusak ya apa eror mau kode virtual accoun nya juga gk mau muncul udah pembelian ke 5 tetap gagal dalam proses,1,tidak bisa beli pulsa ini rusak ya apa eror mau kode virtual accoun nya juga gk mau muncul udah pembelian ke  tetap gagal dalam proses
susah dapet driver kalau menggunakan gocar atau gobike suka di cancel sama driver pas order gofood,1,susah dapet driver kalau menggunakan gocar atau gobike suka di cancel sama driver pas order gofood
kemaren uninstal hari ini instal lagi tapi mau log in susah katanya masalah jaringan.. pas buka aplikasi sebelah malah lancar,4,kemaren uninstal hari ini instal lagi tapi mau log in susah katanya masalah jaringan pas buka aplikasi sebelah malah lancar
"Baru kali ini rasa lumayan kecewa, saya dah rela nungguin beberapa jam, ujung""nya gada driver yang ngambil, saya tau ini lebaran cuman c'mon, emang semuanya muslim kah? mungkin ada beberapa yang ga ikut lebaran dan bisa antar mengantar di gojek dibagian gofood..?, gatau deh gimana lagi, dah beberapa tahun make aplikasi ini juga kurang, dulu juga pas gocar 7-8 kali gada yang dapet , padahal sesuai harga juga dan banyak drivernya juga",1,baru kali ini rasa lumayan kecewa saya dah rela nungguin beberapa jam ujungnya gada driver yang ngambil saya tau ini lebaran cuman cmon emang semuanya muslim kah mungkin ada beberapa yang ga ikut lebaran dan bisa antar mengantar di gojek dibagian gofood gatau deh gimana lagi dah beberapa tahun make aplikasi ini juga kurang dulu juga pas gocar  kali gada yang dapet  padahal sesuai harga juga dan banyak drivernya juga
Force Close mulu ga jelas,1,force close mulu ga jelas
"mau batalin pesanan aja gak bisa, ujung2nya gak ada juga drivernya..dasar aplikasi sampah",1,mau batalin pesanan aja gak bisa ujungnya gak ada juga drivernyadasar aplikasi sampah
"susah dapet driver siktaran bnjran kab bandung, pdhal apk lain aman² aja",2,susah dapet driver siktaran bnjran kab bandung pdhal apk lain aman aja
"yang bener aja, ga usah banyak potongan ke driver nya jadi susah kan nyari driver. gimana sih",3,yang bener aja ga usah banyak potongan ke driver nya jadi susah kan nyari driver gimana sih
"ampunG pesan go-food 3X tidak ada driver, tutup akun aja ☹️",1,ampung pesan gofood x tidak ada driver tutup akun aja 
"susah bat dah dapetin driver elah cape bat, kalo ga niat kerja gausah di kasi kesempatan lah",1,susah bat dah dapetin driver elah cape bat kalo ga niat kerja gausah di kasi kesempatan lah
"susah bgt dapet driver, sekalinya dapet malah ga gerak sama sekali udh nunggu sampe sejam lebih... payah ah gojek",1,susah bgt dapet driver sekalinya dapet malah ga gerak sama sekali udh nunggu sampe sejam lebih payah ah gojek
terima kasih layananya,5,terima kasih layananya
"gatau lagi mesen dari jam 8 malam sampe jam 10 gaada driver yg terima, sekali nya di terima udh tunggu lama malah di cancel?! gaada teguran kah dari pihak gojek nya untuk driver yg kayak gitu ?",1,gatau lagi mesen dari jam  malam sampe jam  gaada driver yg terima sekali nya di terima udh tunggu lama malah di cancel gaada teguran kah dari pihak gojek nya untuk driver yg kayak gitu 
udah bayar pakai gopay tapi tiba2 pesanan di cancel aplikasi gak jelas,1,udah bayar pakai gopay tapi tiba pesanan di cancel aplikasi gak jelas
"resto nya pda telat smua nya,hrus diperbaikin lgi",1,resto nya pda telat smua nyahrus diperbaikin lgi
makin gak jelas aplikasi,1,makin gak jelas aplikasi
paylater sulit dipakai karena diblokir. haha,5,paylater sulit dipakai karena diblokir haha
tambah gak guna aplikasinya,1,tambah gak guna aplikasinya
